id,image_path,coordinates
0,Images/0.jpg,
1,Images/1.jpg,
2,Images/2.jpg,
3,Images/3.jpg,
4,Images/4.jpg,
5,Images/5.jpg,
6,Images/6.jpg,
7,Images/7.jpg,
8,Images/8.jpg,
9,Images/9.jpg,
10,Images/10.jpg,
11,Images/11.jpg,
12,Images/12.jpg,
13,Images/13.jpg,
14,Images/14.jpg,
15,Images/15.jpg,
16,Images/16.jpg,
17,Images/17.jpg,
18,Images/18.jpg,
19,Images/19.jpg,
20,Images/20.jpg,
21,Images/21.jpg,
22,Images/22.jpg,
23,Images/23.jpg,
24,Images/24.jpg,
25,Images/25.jpg,
26,Images/26.jpg,
27,Images/27.jpg,
28,Images/28.jpg,
29,Images/29.jpg,
30,Images/30.jpg,
31,Images/31.jpg,
32,Images/32.jpg,
33,Images/33.jpg,
34,Images/34.jpg,
35,Images/35.jpg,"(2, (867, 452))"
36,Images/36.jpg,"(4, (867, 454))"
37,Images/37.jpg,"(5, (866, 455))"
38,Images/38.jpg,"(6, (866, 456))"
39,Images/39.jpg,"(6, (867, 456))"
40,Images/40.jpg,"(9, (867, 459))"
41,Images/41.jpg,"(10, (868, 460))"
42,Images/42.jpg,"(10, (868, 461))"
43,Images/43.jpg,"(10, (868, 464))"
44,Images/44.jpg,"(10, (868, 467))"
45,Images/45.jpg,"(10, (868, 470))"
46,Images/46.jpg,"(11, (869, 474))"
47,Images/47.jpg,"(10, (868, 477))"
48,Images/48.jpg,"(10, (868, 482))"
49,Images/49.jpg,"(10, (867, 486))"
50,Images/50.jpg,"(10, (867, 490))"
51,Images/51.jpg,"(10, (867, 494))"
52,Images/52.jpg,"(10, (867, 497))"
53,Images/53.jpg,"(10, (867, 501))"
54,Images/54.jpg,"(10, (867, 505))"
55,Images/55.jpg,"(10, (868, 509))"
56,Images/56.jpg,"(10, (868, 513))"
57,Images/57.jpg,"(10, (867, 517))"
58,Images/58.jpg,"(10, (867, 522))"
59,Images/59.jpg,"(10, (867, 526))"
60,Images/60.jpg,"(10, (867, 532))"
61,Images/61.jpg,"(10, (867, 537))"
62,Images/62.jpg,"(9, (865, 541))"
63,Images/63.jpg,"(8, (864, 546))"
64,Images/64.jpg,"(7, (863, 549))"
65,Images/65.jpg,"(3, (863, 550))"
66,Images/66.jpg,
67,Images/67.jpg,
68,Images/68.jpg,
69,Images/69.jpg,
70,Images/70.jpg,
71,Images/71.jpg,
72,Images/72.jpg,
73,Images/73.jpg,
74,Images/74.jpg,
75,Images/75.jpg,
76,Images/76.jpg,
77,Images/77.jpg,
78,Images/78.jpg,
79,Images/79.jpg,
80,Images/80.jpg,
81,Images/81.jpg,
82,Images/82.jpg,
83,Images/83.jpg,
84,Images/84.jpg,
85,Images/85.jpg,
86,Images/86.jpg,
87,Images/87.jpg,
88,Images/88.jpg,
89,Images/89.jpg,
90,Images/90.jpg,
91,Images/91.jpg,
92,Images/92.jpg,
93,Images/93.jpg,
94,Images/94.jpg,
95,Images/95.jpg,
96,Images/96.jpg,
97,Images/97.jpg,
98,Images/98.jpg,
99,Images/99.jpg,
100,Images/100.jpg,
101,Images/101.jpg,
102,Images/102.jpg,
103,Images/103.jpg,
104,Images/104.jpg,
105,Images/105.jpg,
106,Images/106.jpg,
107,Images/107.jpg,
108,Images/108.jpg,
109,Images/109.jpg,
110,Images/110.jpg,
111,Images/111.jpg,
112,Images/112.jpg,
113,Images/113.jpg,
114,Images/114.jpg,
115,Images/115.jpg,
116,Images/116.jpg,
117,Images/117.jpg,
118,Images/118.jpg,
119,Images/119.jpg,
120,Images/120.jpg,
121,Images/121.jpg,
122,Images/122.jpg,
123,Images/123.jpg,
124,Images/124.jpg,
125,Images/125.jpg,
126,Images/126.jpg,
127,Images/127.jpg,
128,Images/128.jpg,
129,Images/129.jpg,
130,Images/130.jpg,
131,Images/131.jpg,
132,Images/132.jpg,
133,Images/133.jpg,
134,Images/134.jpg,
135,Images/135.jpg,
136,Images/136.jpg,
137,Images/137.jpg,
138,Images/138.jpg,
139,Images/139.jpg,
140,Images/140.jpg,
141,Images/141.jpg,
142,Images/142.jpg,
143,Images/143.jpg,
144,Images/144.jpg,
145,Images/145.jpg,
146,Images/146.jpg,
147,Images/147.jpg,
148,Images/148.jpg,
149,Images/149.jpg,
150,Images/150.jpg,
151,Images/151.jpg,
152,Images/152.jpg,
153,Images/153.jpg,
154,Images/154.jpg,
155,Images/155.jpg,
156,Images/156.jpg,
157,Images/157.jpg,
158,Images/158.jpg,
159,Images/159.jpg,
160,Images/160.jpg,
161,Images/161.jpg,
162,Images/162.jpg,
163,Images/163.jpg,
164,Images/164.jpg,
165,Images/165.jpg,
166,Images/166.jpg,
167,Images/167.jpg,
168,Images/168.jpg,
169,Images/169.jpg,
170,Images/170.jpg,
